name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
iid_p1000_n3000_k10_A2p5,0,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,4,2,2,0.5,0.2,2,1,1,0.5,0.1,990,10,980,0.98989898989899,1.0,0,448,1019,1496811569
iid_p1000_n3000_k10_A2p5,1,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,3,2,1,0.3333333333333333,0.2,1,1,0,0.0,0.1,986,10,976,0.9898580121703854,1.0,0,446,1020,1037062526
iid_p1000_n3000_k10_A2p5,2,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,987,10,977,0.9898682877406282,1.0,0,445,1021,2072816697
iid_p1000_n3000_k10_A2p5,3,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,1,1,0,0.0,0.1,1,1,0,0.0,0.1,983,10,973,0.9898270600203459,1.0,0,447,1022,1965328051
iid_p1000_n3000_k10_A2p5,4,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,2,2,0,0.0,0.2,1,1,0,0.0,0.1,984,10,974,0.9898373983739838,1.0,0,438,1023,1833765991
iid_p1000_n3000_k10_A2p5,5,3000,1000,iid,,10,2.5,Knockoff+,5,3,2,0.4,0.3,0.0599398520025738,0.2,5,3,2,0.4,0.3,2,2,0,0.0,0.2,979,10,969,0.9897854954034729,1.0,5,435,1024,1981368384
iid_p1000_n3000_k10_A2p5,6,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,1,1,0,0.0,0.1,1,1,0,0.0,0.1,978,10,968,0.9897750511247444,1.0,0,446,1025,1001841501
iid_p1000_n3000_k10_A2p5,7,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,2,2,0,0.0,0.2,0,0,0,0.0,0.0,979,10,969,0.9897854954034729,1.0,0,448,1026,1663451960
iid_p1000_n3000_k10_A2p5,8,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,2,2,0,0.0,0.2,0,0,0,0.0,0.0,971,10,961,0.9897013388259527,1.0,0,457,1027,1927432640
iid_p1000_n3000_k10_A2p5,9,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,2,1,1,0.5,0.1,0,0,0,0.0,0.0,981,10,971,0.9898063200815495,1.0,0,446,1028,1911539461
iid_p1000_n3000_k10_A2p5,10,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,986,10,976,0.9898580121703854,1.0,0,448,1029,1319723531
iid_p1000_n3000_k10_A2p5,11,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,3,2,1,0.3333333333333333,0.2,2,2,0,0.0,0.2,981,10,971,0.9898063200815495,1.0,0,449,1030,1109980484
iid_p1000_n3000_k10_A2p5,12,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,976,10,966,0.9897540983606558,1.0,0,455,1031,1891370037
iid_p1000_n3000_k10_A2p5,13,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,979,9,970,0.9908069458631257,0.9,0,449,1032,497408566
iid_p1000_n3000_k10_A2p5,14,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,4,3,1,0.25,0.3,1,0,1,1.0,0.0,978,10,968,0.9897750511247444,1.0,0,444,1033,1063940538
iid_p1000_n3000_k10_A2p5,15,3000,1000,iid,,10,2.5,Knockoff+,6,3,3,0.5,0.3,0.05753624778266909,0.16666666666666666,5,3,2,0.4,0.3,0,0,0,0.0,0.0,982,10,972,0.9898167006109979,1.0,6,436,1034,1993893427
iid_p1000_n3000_k10_A2p5,16,3000,1000,iid,,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,2,2,0,0.0,0.2,1,1,0,0.0,0.1,978,10,968,0.9897750511247444,1.0,0,453,1035,1152833301
