name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p9_p1000_n3000_k60_A5p0,0,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,601,49,552,0.9184692179700499,0.8166666666666667,392,43,349,0.8903061224489796,0.7166666666666667,986,60,926,0.9391480730223124,1.0,0,429,1019,1496811569
ar1_rho0p9_p1000_n3000_k60_A5p0,1,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,564,54,510,0.9042553191489362,0.9,403,43,360,0.8933002481389578,0.7166666666666667,994,60,934,0.9396378269617707,1.0,0,425,1020,1037062526
ar1_rho0p9_p1000_n3000_k60_A5p0,2,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,638,51,587,0.9200626959247649,0.85,409,41,368,0.8997555012224939,0.6833333333333333,989,60,929,0.9393326592517695,1.0,0,429,1021,2072816697
ar1_rho0p9_p1000_n3000_k60_A5p0,3,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,639,51,588,0.92018779342723,0.85,407,45,362,0.8894348894348895,0.75,989,60,929,0.9393326592517695,1.0,0,420,1022,1965328051
ar1_rho0p9_p1000_n3000_k60_A5p0,4,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,590,50,540,0.9152542372881356,0.8333333333333334,389,40,349,0.897172236503856,0.6666666666666666,988,60,928,0.9392712550607287,1.0,0,419,1023,1833765991
ar1_rho0p9_p1000_n3000_k60_A5p0,5,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,529,49,480,0.9073724007561437,0.8166666666666667,355,42,313,0.8816901408450705,0.7,992,60,932,0.9395161290322581,1.0,0,414,1024,1981368384
ar1_rho0p9_p1000_n3000_k60_A5p0,6,3000,1000,ar1,0.9,60,5.0,Knockoff+,12,9,3,0.25,0.15,0.13089859885017657,0.16666666666666666,681,56,625,0.9177679882525698,0.9333333333333333,452,47,405,0.8960176991150443,0.7833333333333333,987,60,927,0.939209726443769,1.0,12,418,1025,1001841501
ar1_rho0p9_p1000_n3000_k60_A5p0,7,3000,1000,ar1,0.9,60,5.0,Knockoff+,6,3,3,0.5,0.05,0.17016874689315295,0.16666666666666666,540,51,489,0.9055555555555556,0.85,332,38,294,0.8855421686746988,0.6333333333333333,986,60,926,0.9391480730223124,1.0,6,427,1026,1663451960
ar1_rho0p9_p1000_n3000_k60_A5p0,8,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,642,52,590,0.9190031152647975,0.8666666666666667,414,46,368,0.8888888888888888,0.7666666666666667,987,60,927,0.939209726443769,1.0,0,427,1027,1927432640
ar1_rho0p9_p1000_n3000_k60_A5p0,9,3000,1000,ar1,0.9,60,5.0,Knockoff+,0,0,0,0.0,0.0,,,590,49,541,0.9169491525423729,0.8166666666666667,376,42,334,0.8882978723404256,0.7,984,60,924,0.9390243902439024,1.0,0,435,1028,1911539461
