name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p9_p1000_n3000_k60_A2p5,0,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,372,36,336,0.9032258064516129,0.6,154,22,132,0.8571428571428571,0.36666666666666664,983,60,923,0.9389623601220752,1.0,0,441,1019,1496811569
ar1_rho0p9_p1000_n3000_k60_A2p5,1,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,432,38,394,0.9120370370370371,0.6333333333333333,256,30,226,0.8828125,0.5,987,58,929,0.9412360688956434,0.9666666666666667,0,436,1020,1037062526
ar1_rho0p9_p1000_n3000_k60_A2p5,2,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,377,36,341,0.9045092838196287,0.6,113,20,93,0.8230088495575221,0.3333333333333333,991,60,931,0.9394550958627649,1.0,0,441,1021,2072816697
ar1_rho0p9_p1000_n3000_k60_A2p5,3,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,346,41,305,0.8815028901734104,0.6833333333333333,169,23,146,0.863905325443787,0.38333333333333336,988,60,928,0.9392712550607287,1.0,0,441,1022,1965328051
ar1_rho0p9_p1000_n3000_k60_A2p5,4,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,364,34,330,0.9065934065934066,0.5666666666666667,115,19,96,0.8347826086956521,0.31666666666666665,986,59,927,0.9401622718052738,0.9833333333333333,0,436,1023,1833765991
ar1_rho0p9_p1000_n3000_k60_A2p5,5,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,325,37,288,0.8861538461538462,0.6166666666666667,113,21,92,0.8141592920353983,0.35,987,60,927,0.939209726443769,1.0,0,444,1024,1981368384
ar1_rho0p9_p1000_n3000_k60_A2p5,6,3000,1000,ar1,0.9,60,2.5,Knockoff+,7,4,3,0.42857142857142855,0.06666666666666667,0.09393896626122976,0.14285714285714285,412,42,370,0.8980582524271845,0.7,163,26,137,0.8404907975460123,0.43333333333333335,978,59,919,0.9396728016359919,0.9833333333333333,7,418,1025,1001841501
ar1_rho0p9_p1000_n3000_k60_A2p5,7,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,286,32,254,0.8881118881118881,0.5333333333333333,135,24,111,0.8222222222222222,0.4,979,60,919,0.9387129724208376,1.0,0,440,1026,1663451960
ar1_rho0p9_p1000_n3000_k60_A2p5,8,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,367,41,326,0.888283378746594,0.6833333333333333,151,29,122,0.8079470198675497,0.48333333333333334,988,60,928,0.9392712550607287,1.0,0,443,1027,1927432640
ar1_rho0p9_p1000_n3000_k60_A2p5,9,3000,1000,ar1,0.9,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,379,40,339,0.8944591029023746,0.6666666666666666,168,25,143,0.8511904761904762,0.4166666666666667,977,60,917,0.9385875127942682,1.0,0,430,1028,1911539461
