name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
baseline,0,400,100,iid,,20,3.5,Knockoff+,21,16,5,0.23809523809523808,0.8,0.10082762453019468,0.19047619047619047,16,15,1,0.0625,0.75,15,15,0,0.0,0.75,97,20,77,0.7938144329896907,1.0,21,100,2024,344302750
baseline,1,400,100,iid,,20,3.5,Knockoff+,17,16,1,0.058823529411764705,0.8,0.1383059185949691,0.17647058823529413,19,16,3,0.15789473684210525,0.8,7,7,0,0.0,0.35,96,20,76,0.7916666666666666,1.0,17,100,2025,952142332
baseline,2,400,100,iid,,20,3.5,Knockoff+,12,11,1,0.08333333333333333,0.55,0.1579844775001054,0.16666666666666666,22,18,4,0.18181818181818182,0.9,7,7,0,0.0,0.35,100,20,80,0.8,1.0,12,100,2026,1613981895
baseline,3,400,100,iid,,20,3.5,Knockoff+,13,13,0,0.0,0.65,0.14269934753582014,0.15384615384615385,16,14,2,0.125,0.7,10,10,0,0.0,0.5,97,20,77,0.7938144329896907,1.0,13,100,2027,594133954
baseline,4,400,100,iid,,20,3.5,Knockoff+,0,0,0,0.0,0.0,,,9,9,0,0.0,0.45,6,6,0,0.0,0.3,99,20,79,0.797979797979798,1.0,0,100,2028,1603197839
