name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p5_p1000_n3000_k30_A2p5,0,3000,1000,ar1,0.5,30,2.5,Knockoff+,0,0,0,0.0,0.0,,,7,4,3,0.42857142857142855,0.13333333333333333,0,0,0,0.0,0.0,979,30,949,0.9693564862104188,1.0,0,451,1019,1496811569
ar1_rho0p5_p1000_n3000_k30_A2p5,1,3000,1000,ar1,0.5,30,2.5,Knockoff+,0,0,0,0.0,0.0,,,8,4,4,0.5,0.13333333333333333,2,2,0,0.0,0.06666666666666667,979,30,949,0.9693564862104188,1.0,0,445,1020,1037062526
ar1_rho0p5_p1000_n3000_k30_A2p5,2,3000,1000,ar1,0.5,30,2.5,Knockoff+,8,7,1,0.125,0.23333333333333334,0.0631055136163387,0.125,24,14,10,0.4166666666666667,0.4666666666666667,3,3,0,0.0,0.1,991,30,961,0.9697275479313825,1.0,8,457,1021,2072816697
ar1_rho0p5_p1000_n3000_k30_A2p5,3,3000,1000,ar1,0.5,30,2.5,Knockoff+,0,0,0,0.0,0.0,,,32,17,15,0.46875,0.5666666666666667,15,11,4,0.26666666666666666,0.36666666666666664,980,30,950,0.9693877551020408,1.0,0,452,1022,1965328051
ar1_rho0p5_p1000_n3000_k30_A2p5,4,3000,1000,ar1,0.5,30,2.5,Knockoff+,0,0,0,0.0,0.0,,,17,12,5,0.29411764705882354,0.4,2,2,0,0.0,0.06666666666666667,977,30,947,0.9692937563971341,1.0,0,450,1023,1833765991
ar1_rho0p5_p1000_n3000_k30_A2p5,5,3000,1000,ar1,0.5,30,2.5,Knockoff+,6,6,0,0.0,0.2,0.0701632951785193,0.16666666666666666,16,11,5,0.3125,0.36666666666666664,4,4,0,0.0,0.13333333333333333,988,30,958,0.9696356275303644,1.0,6,447,1024,1981368384
ar1_rho0p5_p1000_n3000_k30_A2p5,6,3000,1000,ar1,0.5,30,2.5,Knockoff+,0,0,0,0.0,0.0,,,26,14,12,0.46153846153846156,0.4666666666666667,5,5,0,0.0,0.16666666666666666,985,30,955,0.9695431472081218,1.0,0,434,1025,1001841501
ar1_rho0p5_p1000_n3000_k30_A2p5,7,3000,1000,ar1,0.5,30,2.5,Knockoff+,5,4,1,0.2,0.13333333333333333,0.06893142457452453,0.2,15,9,6,0.4,0.3,2,2,0,0.0,0.06666666666666667,982,30,952,0.9694501018329938,1.0,5,445,1026,1663451960
ar1_rho0p5_p1000_n3000_k30_A2p5,8,3000,1000,ar1,0.5,30,2.5,Knockoff+,6,5,1,0.16666666666666666,0.16666666666666666,0.062146536213997676,0.16666666666666666,7,5,2,0.2857142857142857,0.16666666666666666,0,0,0,0.0,0.0,983,30,953,0.9694811800610377,1.0,6,461,1027,1927432640
ar1_rho0p5_p1000_n3000_k30_A2p5,9,3000,1000,ar1,0.5,30,2.5,Knockoff+,0,0,0,0.0,0.0,,,24,11,13,0.5416666666666666,0.36666666666666664,6,3,3,0.5,0.1,981,30,951,0.9694189602446484,1.0,0,442,1028,1911539461
