name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_05,0,400,100,ar1,0.5,20,3.5,Knockoff+,27,18,9,0.3333333333333333,0.9,0.07234907185925794,0.18518518518518517,26,16,10,0.38461538461538464,0.8,15,10,5,0.3333333333333333,0.5,98,20,78,0.7959183673469388,1.0,27,100,2024,344302750
ar1_05,1,400,100,ar1,0.5,20,3.5,Knockoff+,19,16,3,0.15789473684210525,0.8,0.1106965588987241,0.15789473684210525,31,17,14,0.45161290322580644,0.85,12,9,3,0.25,0.45,96,20,76,0.7916666666666666,1.0,19,100,2025,952142332
ar1_05,2,400,100,ar1,0.5,20,3.5,Knockoff+,16,13,3,0.1875,0.65,0.1262031109288856,0.1875,27,15,12,0.4444444444444444,0.75,15,11,4,0.26666666666666666,0.55,97,20,77,0.7938144329896907,1.0,16,100,2026,1613981895
ar1_05,3,400,100,ar1,0.5,20,3.5,Knockoff+,18,12,6,0.3333333333333333,0.6,0.14505206608923416,0.16666666666666666,35,15,20,0.5714285714285714,0.75,15,9,6,0.4,0.45,99,20,79,0.797979797979798,1.0,18,100,2027,594133954
ar1_05,4,400,100,ar1,0.5,20,3.5,Knockoff+,7,7,0,0.0,0.35,0.21659253894694527,0.14285714285714285,24,14,10,0.4166666666666667,0.7,10,10,0,0.0,0.5,99,20,79,0.797979797979798,1.0,7,100,2028,1603197839
