name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p5_p1000_n3000_k10_A5p0,0,3000,1000,ar1,0.5,10,5.0,Knockoff+,0,0,0,0.0,0.0,,,24,10,14,0.5833333333333334,1.0,14,9,5,0.35714285714285715,0.9,978,10,968,0.9897750511247444,1.0,0,454,1019,1496811569
ar1_rho0p5_p1000_n3000_k10_A5p0,1,3000,1000,ar1,0.5,10,5.0,Knockoff+,5,5,0,0.0,0.5,0.08408458334805133,0.2,27,10,17,0.6296296296296297,1.0,13,9,4,0.3076923076923077,0.9,979,10,969,0.9897854954034729,1.0,5,442,1020,1037062526
ar1_rho0p5_p1000_n3000_k10_A5p0,2,3000,1000,ar1,0.5,10,5.0,Knockoff+,0,0,0,0.0,0.0,,,15,9,6,0.4,0.9,11,9,2,0.18181818181818182,0.9,982,10,972,0.9898167006109979,1.0,0,458,1021,2072816697
ar1_rho0p5_p1000_n3000_k10_A5p0,3,3000,1000,ar1,0.5,10,5.0,Knockoff+,0,0,0,0.0,0.0,,,24,9,15,0.625,0.9,11,9,2,0.18181818181818182,0.9,977,10,967,0.9897645854657113,1.0,0,451,1022,1965328051
ar1_rho0p5_p1000_n3000_k10_A5p0,4,3000,1000,ar1,0.5,10,5.0,Knockoff+,5,5,0,0.0,0.5,0.08156740572047667,0.2,13,8,5,0.38461538461538464,0.8,7,6,1,0.14285714285714285,0.6,987,10,977,0.9898682877406282,1.0,5,449,1023,1833765991
ar1_rho0p5_p1000_n3000_k10_A5p0,5,3000,1000,ar1,0.5,10,5.0,Knockoff+,5,5,0,0.0,0.5,0.08620523515748653,0.2,23,10,13,0.5652173913043478,1.0,14,9,5,0.35714285714285715,0.9,985,10,975,0.9898477157360406,1.0,5,446,1024,1981368384
ar1_rho0p5_p1000_n3000_k10_A5p0,6,3000,1000,ar1,0.5,10,5.0,Knockoff+,0,0,0,0.0,0.0,,,22,9,13,0.5909090909090909,0.9,7,7,0,0.0,0.7,985,10,975,0.9898477157360406,1.0,0,442,1025,1001841501
ar1_rho0p5_p1000_n3000_k10_A5p0,7,3000,1000,ar1,0.5,10,5.0,Knockoff+,10,10,0,0.0,1.0,0.06575919243076783,0.2,16,10,6,0.375,1.0,13,10,3,0.23076923076923078,1.0,984,10,974,0.9898373983739838,1.0,10,441,1026,1663451960
ar1_rho0p5_p1000_n3000_k10_A5p0,8,3000,1000,ar1,0.5,10,5.0,Knockoff+,0,0,0,0.0,0.0,,,28,10,18,0.6428571428571429,1.0,17,9,8,0.47058823529411764,0.9,979,10,969,0.9897854954034729,1.0,0,462,1027,1927432640
ar1_rho0p5_p1000_n3000_k10_A5p0,9,3000,1000,ar1,0.5,10,5.0,Knockoff+,10,9,1,0.1,0.9,0.06294142474718105,0.2,13,10,3,0.23076923076923078,1.0,9,8,1,0.1111111111111111,0.8,982,10,972,0.9898167006109979,1.0,10,441,1028,1911539461
