name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
iid_p1000_n3000_k60_A2p5,0,3000,1000,iid,,60,2.5,Knockoff+,12,10,2,0.16666666666666666,0.16666666666666666,0.06007131355251936,0.16666666666666666,18,16,2,0.1111111111111111,0.26666666666666666,1,1,0,0.0,0.016666666666666666,987,60,927,0.939209726443769,1.0,12,445,1019,1496811569
iid_p1000_n3000_k60_A2p5,1,3000,1000,iid,,60,2.5,Knockoff+,10,9,1,0.1,0.15,0.0665668706468324,0.2,22,17,5,0.22727272727272727,0.2833333333333333,8,8,0,0.0,0.13333333333333333,990,60,930,0.9393939393939394,1.0,10,445,1020,1037062526
iid_p1000_n3000_k60_A2p5,2,3000,1000,iid,,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,25,19,6,0.24,0.31666666666666665,5,5,0,0.0,0.08333333333333333,978,60,918,0.9386503067484663,1.0,0,443,1021,2072816697
iid_p1000_n3000_k60_A2p5,3,3000,1000,iid,,60,2.5,Knockoff+,15,13,2,0.13333333333333333,0.21666666666666667,0.06325231923152122,0.2,22,17,5,0.22727272727272727,0.2833333333333333,8,8,0,0.0,0.13333333333333333,980,60,920,0.9387755102040817,1.0,15,445,1022,1965328051
iid_p1000_n3000_k60_A2p5,4,3000,1000,iid,,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,24,17,7,0.2916666666666667,0.2833333333333333,0,0,0,0.0,0.0,988,60,928,0.9392712550607287,1.0,0,434,1023,1833765991
iid_p1000_n3000_k60_A2p5,5,3000,1000,iid,,60,2.5,Knockoff+,0,0,0,0.0,0.0,,,30,22,8,0.26666666666666666,0.36666666666666664,3,3,0,0.0,0.05,984,60,924,0.9390243902439024,1.0,0,440,1024,1981368384
iid_p1000_n3000_k60_A2p5,6,3000,1000,iid,,60,2.5,Knockoff+,16,16,0,0.0,0.26666666666666666,0.05990961542824635,0.1875,26,24,2,0.07692307692307693,0.4,4,4,0,0.0,0.06666666666666667,980,60,920,0.9387755102040817,1.0,16,443,1025,1001841501
iid_p1000_n3000_k60_A2p5,7,3000,1000,iid,,60,2.5,Knockoff+,11,10,1,0.09090909090909091,0.16666666666666666,0.06368959486442155,0.18181818181818182,23,18,5,0.21739130434782608,0.3,0,0,0,0.0,0.0,987,60,927,0.939209726443769,1.0,11,447,1026,1663451960
iid_p1000_n3000_k60_A2p5,8,3000,1000,iid,,60,2.5,Knockoff+,17,15,2,0.11764705882352941,0.25,0.06033867766081717,0.17647058823529413,19,16,3,0.15789473684210525,0.26666666666666666,5,5,0,0.0,0.08333333333333333,977,60,917,0.9385875127942682,1.0,17,451,1027,1927432640
iid_p1000_n3000_k60_A2p5,9,3000,1000,iid,,60,2.5,Knockoff+,16,14,2,0.125,0.23333333333333334,0.060950446100527654,0.1875,21,17,4,0.19047619047619047,0.2833333333333333,5,4,1,0.2,0.06666666666666667,987,60,927,0.939209726443769,1.0,16,444,1028,1911539461
iid_p1000_n3000_k60_A2p5,10,3000,1000,iid,,60,2.5,Knockoff+,25,22,3,0.12,0.36666666666666664,0.053756465656504125,0.2,24,23,1,0.041666666666666664,0.38333333333333336,6,6,0,0.0,0.1,980,60,920,0.9387755102040817,1.0,25,448,1029,1319723531
iid_p1000_n3000_k60_A2p5,11,3000,1000,iid,,60,2.5,Knockoff+,20,16,4,0.2,0.26666666666666666,0.05685582520968074,0.2,29,21,8,0.27586206896551724,0.35,2,2,0,0.0,0.03333333333333333,981,60,921,0.9388379204892966,1.0,20,445,1030,1109980484
iid_p1000_n3000_k60_A2p5,12,3000,1000,iid,,60,2.5,Knockoff+,33,25,8,0.24242424242424243,0.4166666666666667,0.049119129830400905,0.18181818181818182,21,19,2,0.09523809523809523,0.31666666666666665,6,6,0,0.0,0.1,985,60,925,0.9390862944162437,1.0,33,448,1031,1891370037
iid_p1000_n3000_k60_A2p5,13,3000,1000,iid,,60,2.5,Knockoff+,21,17,4,0.19047619047619047,0.2833333333333333,0.0578444084958916,0.19047619047619047,24,18,6,0.25,0.3,6,6,0,0.0,0.1,974,60,914,0.9383983572895277,1.0,21,451,1032,497408566
iid_p1000_n3000_k60_A2p5,14,3000,1000,iid,,60,2.5,Knockoff+,16,12,4,0.25,0.2,0.057430928846010525,0.1875,23,15,8,0.34782608695652173,0.25,6,5,1,0.16666666666666666,0.08333333333333333,982,60,922,0.9389002036659878,1.0,16,440,1033,1063940538
iid_p1000_n3000_k60_A2p5,15,3000,1000,iid,,60,2.5,Knockoff+,15,13,2,0.13333333333333333,0.21666666666666667,0.06162880105844884,0.2,22,20,2,0.09090909090909091,0.3333333333333333,3,3,0,0.0,0.05,987,60,927,0.939209726443769,1.0,15,440,1034,1993893427
