name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p5_p1000_n3000_k10_A3p5,0,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,16,8,8,0.5,0.8,6,3,3,0.5,0.3,983,10,973,0.9898270600203459,1.0,0,455,1019,1496811569
ar1_rho0p5_p1000_n3000_k10_A3p5,1,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,19,8,11,0.5789473684210527,0.8,2,2,0,0.0,0.2,981,10,971,0.9898063200815495,1.0,0,444,1020,1037062526
ar1_rho0p5_p1000_n3000_k10_A3p5,2,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,10,6,4,0.4,0.6,5,4,1,0.2,0.4,980,10,970,0.9897959183673469,1.0,0,457,1021,2072816697
ar1_rho0p5_p1000_n3000_k10_A3p5,3,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,16,8,8,0.5,0.8,3,3,0,0.0,0.3,977,10,967,0.9897645854657113,1.0,0,452,1022,1965328051
ar1_rho0p5_p1000_n3000_k10_A3p5,4,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,7,5,2,0.2857142857142857,0.5,3,3,0,0.0,0.3,981,10,971,0.9898063200815495,1.0,0,448,1023,1833765991
ar1_rho0p5_p1000_n3000_k10_A3p5,5,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,11,6,5,0.45454545454545453,0.6,3,3,0,0.0,0.3,982,10,972,0.9898167006109979,1.0,0,447,1024,1981368384
ar1_rho0p5_p1000_n3000_k10_A3p5,6,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,4,4,0,0.0,0.4,1,1,0,0.0,0.1,979,10,969,0.9897854954034729,1.0,0,443,1025,1001841501
ar1_rho0p5_p1000_n3000_k10_A3p5,7,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,9,6,3,0.3333333333333333,0.6,3,3,0,0.0,0.3,976,10,966,0.9897540983606558,1.0,0,441,1026,1663451960
ar1_rho0p5_p1000_n3000_k10_A3p5,8,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,19,7,12,0.631578947368421,0.7,8,5,3,0.375,0.5,978,10,968,0.9897750511247444,1.0,0,463,1027,1927432640
ar1_rho0p5_p1000_n3000_k10_A3p5,9,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,6,4,2,0.3333333333333333,0.4,3,2,1,0.3333333333333333,0.2,988,10,978,0.9898785425101214,1.0,0,441,1028,1911539461
ar1_rho0p5_p1000_n3000_k10_A3p5,10,3000,1000,ar1,0.5,10,3.5,Knockoff+,17,6,11,0.6470588235294118,0.6,0.05112485074216585,0.17647058823529413,5,4,1,0.2,0.4,3,2,1,0.3333333333333333,0.2,983,10,973,0.9898270600203459,1.0,17,451,1029,1319723531
ar1_rho0p5_p1000_n3000_k10_A3p5,11,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,7,5,2,0.2857142857142857,0.5,1,1,0,0.0,0.1,980,10,970,0.9897959183673469,1.0,0,447,1030,1109980484
ar1_rho0p5_p1000_n3000_k10_A3p5,12,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,4,3,1,0.25,0.3,2,2,0,0.0,0.2,989,10,979,0.9898887765419616,1.0,0,459,1031,1891370037
ar1_rho0p5_p1000_n3000_k10_A3p5,13,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,4,4,0,0.0,0.4,0,0,0,0.0,0.0,982,10,972,0.9898167006109979,1.0,0,446,1032,497408566
ar1_rho0p5_p1000_n3000_k10_A3p5,14,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,15,9,6,0.4,0.9,5,4,1,0.2,0.4,973,10,963,0.9897225077081192,1.0,0,444,1033,1063940538
ar1_rho0p5_p1000_n3000_k10_A3p5,15,3000,1000,ar1,0.5,10,3.5,Knockoff+,5,4,1,0.2,0.4,0.07102161770319586,0.2,9,6,3,0.3333333333333333,0.6,5,4,1,0.2,0.4,981,10,971,0.9898063200815495,1.0,5,443,1034,1993893427
ar1_rho0p5_p1000_n3000_k10_A3p5,16,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,4,4,0,0.0,0.4,2,2,0,0.0,0.2,968,10,958,0.9896694214876033,1.0,0,456,1035,1152833301
ar1_rho0p5_p1000_n3000_k10_A3p5,17,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,14,9,5,0.35714285714285715,0.9,9,8,1,0.1111111111111111,0.8,982,10,972,0.9898167006109979,1.0,0,452,1036,476256779
ar1_rho0p5_p1000_n3000_k10_A3p5,18,3000,1000,ar1,0.5,10,3.5,Knockoff+,0,0,0,0.0,0.0,,,9,5,4,0.4444444444444444,0.5,3,3,0,0.0,0.3,989,10,979,0.9898887765419616,1.0,0,455,1037,110581346
ar1_rho0p5_p1000_n3000_k10_A3p5,19,3000,1000,ar1,0.5,10,3.5,Knockoff+,9,7,2,0.2222222222222222,0.7,0.05847516480135479,0.1111111111111111,11,9,2,0.18181818181818182,0.9,7,6,1,0.14285714285714285,0.6,986,10,976,0.9898580121703854,1.0,9,452,1038,1031888553
