name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p5_p1000_n3000_k10_A2p5,0,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,6,3,3,0.5,0.3,1,1,0,0.0,0.1,984,10,974,0.9898373983739838,1.0,0,457,1019,1496811569
ar1_rho0p5_p1000_n3000_k10_A2p5,1,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,9,2,7,0.7777777777777778,0.2,1,1,0,0.0,0.1,987,10,977,0.9898682877406282,1.0,0,446,1020,1037062526
ar1_rho0p5_p1000_n3000_k10_A2p5,2,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,2,1,1,0.5,0.1,0,0,0,0.0,0.0,981,10,971,0.9898063200815495,1.0,0,456,1021,2072816697
ar1_rho0p5_p1000_n3000_k10_A2p5,3,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,1,1,0,0.0,0.1,1,1,0,0.0,0.1,982,10,972,0.9898167006109979,1.0,0,451,1022,1965328051
ar1_rho0p5_p1000_n3000_k10_A2p5,4,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,979,10,969,0.9897854954034729,1.0,0,448,1023,1833765991
ar1_rho0p5_p1000_n3000_k10_A2p5,5,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,4,2,2,0.5,0.2,1,1,0,0.0,0.1,984,10,974,0.9898373983739838,1.0,0,447,1024,1981368384
ar1_rho0p5_p1000_n3000_k10_A2p5,6,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,1,1,0,0.0,0.1,1,1,0,0.0,0.1,980,10,970,0.9897959183673469,1.0,0,446,1025,1001841501
ar1_rho0p5_p1000_n3000_k10_A2p5,7,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,972,10,962,0.9897119341563786,1.0,0,440,1026,1663451960
ar1_rho0p5_p1000_n3000_k10_A2p5,8,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,10,3,7,0.7,0.3,0,0,0,0.0,0.0,970,10,960,0.9896907216494846,1.0,0,464,1027,1927432640
ar1_rho0p5_p1000_n3000_k10_A2p5,9,3000,1000,ar1,0.5,10,2.5,Knockoff+,0,0,0,0.0,0.0,,,3,1,2,0.6666666666666666,0.1,1,0,1,1.0,0.0,985,10,975,0.9898477157360406,1.0,0,442,1028,1911539461
