name,trial,n,p,mode,rho,k_true,A,method,R_kn,TP_kn,V_kn,FDP_kn,Power_kn,T_kn,FDPhat_kn,R_bh,TP_bh,V_bh,FDP_bh,Power_bh,R_by,TP_by,V_by,FDP_by,Power_by,R_bw,TP_bw,V_bw,FDP_bw,Power_bw,n_pos,w_nonzero,seed_dataset,seed_knockoff
ar1_rho0p9_p1000_n3000_k30_A5p0,0,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,362,28,334,0.9226519337016574,0.9333333333333333,218,26,192,0.8807339449541285,0.8666666666666667,979,29,950,0.9703779366700716,0.9666666666666667,0,442,1019,1496811569
ar1_rho0p9_p1000_n3000_k30_A5p0,1,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,503,26,477,0.94831013916501,0.8666666666666667,309,23,286,0.9255663430420712,0.7666666666666667,978,30,948,0.9693251533742331,1.0,0,436,1020,1037062526
ar1_rho0p9_p1000_n3000_k30_A5p0,2,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,405,26,379,0.9358024691358025,0.8666666666666667,227,22,205,0.9030837004405287,0.7333333333333333,986,30,956,0.9695740365111561,1.0,0,438,1021,2072816697
ar1_rho0p9_p1000_n3000_k30_A5p0,3,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,450,29,421,0.9355555555555556,0.9666666666666667,275,26,249,0.9054545454545454,0.8666666666666667,980,30,950,0.9693877551020408,1.0,0,441,1022,1965328051
ar1_rho0p9_p1000_n3000_k30_A5p0,4,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,445,29,416,0.9348314606741573,0.9666666666666667,245,22,223,0.9102040816326531,0.7333333333333333,987,30,957,0.9696048632218845,1.0,0,423,1023,1833765991
ar1_rho0p9_p1000_n3000_k30_A5p0,5,3000,1000,ar1,0.9,30,5.0,Knockoff+,10,9,1,0.1,0.3,0.10666617849950398,0.2,455,27,428,0.9406593406593406,0.9,286,24,262,0.916083916083916,0.8,989,30,959,0.9696663296258847,1.0,10,435,1024,1981368384
ar1_rho0p9_p1000_n3000_k30_A5p0,6,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,383,26,357,0.9321148825065274,0.8666666666666667,232,23,209,0.9008620689655172,0.7666666666666667,979,30,949,0.9693564862104188,1.0,0,428,1025,1001841501
ar1_rho0p9_p1000_n3000_k30_A5p0,7,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,464,28,436,0.9396551724137931,0.9333333333333333,234,25,209,0.8931623931623932,0.8333333333333334,980,30,950,0.9693877551020408,1.0,0,430,1026,1663451960
ar1_rho0p9_p1000_n3000_k30_A5p0,8,3000,1000,ar1,0.9,30,5.0,Knockoff+,10,8,2,0.2,0.26666666666666666,0.08857356194827572,0.2,356,26,330,0.9269662921348315,0.8666666666666667,186,18,168,0.9032258064516129,0.6,982,30,952,0.9694501018329938,1.0,10,458,1027,1927432640
ar1_rho0p9_p1000_n3000_k30_A5p0,9,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,355,22,333,0.9380281690140845,0.7333333333333333,222,20,202,0.9099099099099099,0.6666666666666666,981,30,951,0.9694189602446484,1.0,0,433,1028,1911539461
ar1_rho0p9_p1000_n3000_k30_A5p0,10,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,462,29,433,0.9372294372294372,0.9666666666666667,297,27,270,0.9090909090909091,0.9,986,30,956,0.9695740365111561,1.0,0,443,1029,1319723531
ar1_rho0p9_p1000_n3000_k30_A5p0,11,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,351,25,326,0.9287749287749287,0.8333333333333334,212,21,191,0.9009433962264151,0.7,989,30,959,0.9696663296258847,1.0,0,443,1030,1109980484
ar1_rho0p9_p1000_n3000_k30_A5p0,12,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,361,26,335,0.9279778393351801,0.8666666666666667,210,25,185,0.8809523809523809,0.8333333333333334,991,30,961,0.9697275479313825,1.0,0,443,1031,1891370037
ar1_rho0p9_p1000_n3000_k30_A5p0,13,3000,1000,ar1,0.9,30,5.0,Knockoff+,11,6,5,0.45454545454545453,0.2,0.1193793528415699,0.18181818181818182,473,27,446,0.9429175475687104,0.9,291,27,264,0.9072164948453608,0.9,985,30,955,0.9695431472081218,1.0,11,424,1032,497408566
ar1_rho0p9_p1000_n3000_k30_A5p0,14,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,523,29,494,0.9445506692160612,0.9666666666666667,310,27,283,0.9129032258064517,0.9,981,30,951,0.9694189602446484,1.0,0,430,1033,1063940538
ar1_rho0p9_p1000_n3000_k30_A5p0,15,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,357,26,331,0.927170868347339,0.8666666666666667,247,24,223,0.902834008097166,0.8,982,30,952,0.9694501018329938,1.0,0,430,1034,1993893427
ar1_rho0p9_p1000_n3000_k30_A5p0,16,3000,1000,ar1,0.9,30,5.0,Knockoff+,7,4,3,0.42857142857142855,0.13333333333333333,0.1338440642412592,0.14285714285714285,345,23,322,0.9333333333333333,0.7666666666666667,220,20,200,0.9090909090909091,0.6666666666666666,985,30,955,0.9695431472081218,1.0,7,433,1035,1152833301
ar1_rho0p9_p1000_n3000_k30_A5p0,17,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,376,29,347,0.9228723404255319,0.9666666666666667,224,26,198,0.8839285714285714,0.8666666666666667,990,30,960,0.9696969696969697,1.0,0,429,1036,476256779
ar1_rho0p9_p1000_n3000_k30_A5p0,18,3000,1000,ar1,0.9,30,5.0,Knockoff+,12,10,2,0.16666666666666666,0.3333333333333333,0.09884671733467135,0.16666666666666666,362,25,337,0.930939226519337,0.8333333333333334,210,21,189,0.9,0.7,990,30,960,0.9696969696969697,1.0,12,431,1037,110581346
ar1_rho0p9_p1000_n3000_k30_A5p0,19,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,493,29,464,0.9411764705882353,0.9666666666666667,328,28,300,0.9146341463414634,0.9333333333333333,988,30,958,0.9696356275303644,1.0,0,431,1038,1031888553
ar1_rho0p9_p1000_n3000_k30_A5p0,20,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,383,27,356,0.9295039164490861,0.9,229,23,206,0.8995633187772926,0.7666666666666667,990,30,960,0.9696969696969697,1.0,0,448,1039,538228480
ar1_rho0p9_p1000_n3000_k30_A5p0,21,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,352,25,327,0.9289772727272727,0.8333333333333334,200,23,177,0.885,0.7666666666666667,984,30,954,0.9695121951219512,1.0,0,454,1040,1090653847
ar1_rho0p9_p1000_n3000_k30_A5p0,22,3000,1000,ar1,0.9,30,5.0,Knockoff+,0,0,0,0.0,0.0,,,350,27,323,0.9228571428571428,0.9,230,27,203,0.8826086956521739,0.9,986,30,956,0.9695740365111561,1.0,0,448,1041,876308058
